Pattern,X1,X2,X3,X4,X5,X6
114555,Earth,Earth,Jupiter,Null,Null,Null
114552,Earth,Earth,Jupiter,Null,Null,Venus
114521,Earth,Earth,Jupiter,Null,Venus,Earth
114524,Earth,Earth,Jupiter,Null,Venus,Jupiter
114523,Earth,Earth,Jupiter,Null,Venus,Mars
114525,Earth,Earth,Jupiter,Null,Venus,Null
114522,Earth,Earth,Jupiter,Null,Venus,Venus
114211,Earth,Earth,Jupiter,Venus,Earth,Earth
114214,Earth,Earth,Jupiter,Venus,Earth,Jupiter
114213,Earth,Earth,Jupiter,Venus,Earth,Mars
114215,Earth,Earth,Jupiter,Venus,Earth,Null
114212,Earth,Earth,Jupiter,Venus,Earth,Venus
114241,Earth,Earth,Jupiter,Venus,Jupiter,Earth
114244,Earth,Earth,Jupiter,Venus,Jupiter,Jupiter
114243,Earth,Earth,Jupiter,Venus,Jupiter,Mars
114245,Earth,Earth,Jupiter,Venus,Jupiter,Null
114242,Earth,Earth,Jupiter,Venus,Jupiter,Venus
114231,Earth,Earth,Jupiter,Venus,Mars,Earth
114234,Earth,Earth,Jupiter,Venus,Mars,Jupiter
114233,Earth,Earth,Jupiter,Venus,Mars,Mars
114235,Earth,Earth,Jupiter,Venus,Mars,Null
114232,Earth,Earth,Jupiter,Venus,Mars,Venus
114251,Earth,Earth,Jupiter,Venus,Null,Earth
114254,Earth,Earth,Jupiter,Venus,Null,Jupiter
114253,Earth,Earth,Jupiter,Venus,Null,Mars
114255,Earth,Earth,Jupiter,Venus,Null,Null
114252,Earth,Earth,Jupiter,Venus,Null,Venus
114221,Earth,Earth,Jupiter,Venus,Venus,Earth
114224,Earth,Earth,Jupiter,Venus,Venus,Jupiter
114223,Earth,Earth,Jupiter,Venus,Venus,Mars
114225,Earth,Earth,Jupiter,Venus,Venus,Null
114222,Earth,Earth,Jupiter,Venus,Venus,Venus
113111,Earth,Earth,Mars,Earth,Earth,Earth
113114,Earth,Earth,Mars,Earth,Earth,Jupiter
113113,Earth,Earth,Mars,Earth,Earth,Mars
113115,Earth,Earth,Mars,Earth,Earth,Null
113112,Earth,Earth,Mars,Earth,Earth,Venus
113141,Earth,Earth,Mars,Earth,Jupiter,Earth
113144,Earth,Earth,Mars,Earth,Jupiter,Jupiter
113143,Earth,Earth,Mars,Earth,Jupiter,Mars
113145,Earth,Earth,Mars,Earth,Jupiter,Null
113142,Earth,Earth,Mars,Earth,Jupiter,Venus
113131,Earth,Earth,Mars,Earth,Mars,Earth
113134,Earth,Earth,Mars,Earth,Mars,Jupiter
113133,Earth,Earth,Mars,Earth,Mars,Mars
113135,Earth,Earth,Mars,Earth,Mars,Null
113132,Earth,Earth,Mars,Earth,Mars,Venus
113151,Earth,Earth,Mars,Earth,Null,Earth
113154,Earth,Earth,Mars,Earth,Null,Jupiter
113153,Earth,Earth,Mars,Earth,Null,Mars
113155,Earth,Earth,Mars,Earth,Null,Null
113152,Earth,Earth,Mars,Earth,Null,Venus
113121,Earth,Earth,Mars,Earth,Venus,Earth
113124,Earth,Earth,Mars,Earth,Venus,Jupiter
113123,Earth,Earth,Mars,Earth,Venus,Mars
113125,Earth,Earth,Mars,Earth,Venus,Null
113122,Earth,Earth,Mars,Earth,Venus,Venus
113411,Earth,Earth,Mars,Jupiter,Earth,Earth
113414,Earth,Earth,Mars,Jupiter,Earth,Jupiter
113413,Earth,Earth,Mars,Jupiter,Earth,Mars
113415,Earth,Earth,Mars,Jupiter,Earth,Null
113412,Earth,Earth,Mars,Jupiter,Earth,Venus
113441,Earth,Earth,Mars,Jupiter,Jupiter,Earth
113444,Earth,Earth,Mars,Jupiter,Jupiter,Jupiter
113443,Earth,Earth,Mars,Jupiter,Jupiter,Mars
113445,Earth,Earth,Mars,Jupiter,Jupiter,Null
113442,Earth,Earth,Mars,Jupiter,Jupiter,Venus
113431,Earth,Earth,Mars,Jupiter,Mars,Earth
113434,Earth,Earth,Mars,Jupiter,Mars,Jupiter
113433,Earth,Earth,Mars,Jupiter,Mars,Mars
113435,Earth,Earth,Mars,Jupiter,Mars,Null
113432,Earth,Earth,Mars,Jupiter,Mars,Venus
113451,Earth,Earth,Mars,Jupiter,Null,Earth
113454,Earth,Earth,Mars,Jupiter,Null,Jupiter
113453,Earth,Earth,Mars,Jupiter,Null,Mars
113455,Earth,Earth,Mars,Jupiter,Null,Null
113452,Earth,Earth,Mars,Jupiter,Null,Venus
113421,Earth,Earth,Mars,Jupiter,Venus,Earth
113424,Earth,Earth,Mars,Jupiter,Venus,Jupiter
113423,Earth,Earth,Mars,Jupiter,Venus,Mars
113425,Earth,Earth,Mars,Jupiter,Venus,Null
113422,Earth,Earth,Mars,Jupiter,Venus,Venus
113311,Earth,Earth,Mars,Mars,Earth,Earth
113314,Earth,Earth,Mars,Mars,Earth,Jupiter
113313,Earth,Earth,Mars,Mars,Earth,Mars
113315,Earth,Earth,Mars,Mars,Earth,Null
113312,Earth,Earth,Mars,Mars,Earth,Venus
113341,Earth,Earth,Mars,Mars,Jupiter,Earth
113344,Earth,Earth,Mars,Mars,Jupiter,Jupiter
113343,Earth,Earth,Mars,Mars,Jupiter,Mars
113345,Earth,Earth,Mars,Mars,Jupiter,Null
113342,Earth,Earth,Mars,Mars,Jupiter,Venus
113331,Earth,Earth,Mars,Mars,Mars,Earth
113334,Earth,Earth,Mars,Mars,Mars,Jupiter
113333,Earth,Earth,Mars,Mars,Mars,Mars
113335,Earth,Earth,Mars,Mars,Mars,Null
113332,Earth,Earth,Mars,Mars,Mars,Venus
113351,Earth,Earth,Mars,Mars,Null,Earth
113354,Earth,Earth,Mars,Mars,Null,Jupiter
113353,Earth,Earth,Mars,Mars,Null,Mars
113355,Earth,Earth,Mars,Mars,Null,Null
113352,Earth,Earth,Mars,Mars,Null,Venus
113321,Earth,Earth,Mars,Mars,Venus,Earth
113324,Earth,Earth,Mars,Mars,Venus,Jupiter
113323,Earth,Earth,Mars,Mars,Venus,Mars
113325,Earth,Earth,Mars,Mars,Venus,Null
113322,Earth,Earth,Mars,Mars,Venus,Venus
113511,Earth,Earth,Mars,Null,Earth,Earth
113514,Earth,Earth,Mars,Null,Earth,Jupiter
113513,Earth,Earth,Mars,Null,Earth,Mars
113515,Earth,Earth,Mars,Null,Earth,Null
113512,Earth,Earth,Mars,Null,Earth,Venus
113541,Earth,Earth,Mars,Null,Jupiter,Earth
113544,Earth,Earth,Mars,Null,Jupiter,Jupiter
113543,Earth,Earth,Mars,Null,Jupiter,Mars
113545,Earth,Earth,Mars,Null,Jupiter,Null
113542,Earth,Earth,Mars,Null,Jupiter,Venus
113531,Earth,Earth,Mars,Null,Mars,Earth
113534,Earth,Earth,Mars,Null,Mars,Jupiter
113533,Earth,Earth,Mars,Null,Mars,Mars
113535,Earth,Earth,Mars,Null,Mars,Null
113532,Earth,Earth,Mars,Null,Mars,Venus
113551,Earth,Earth,Mars,Null,Null,Earth
113554,Earth,Earth,Mars,Null,Null,Jupiter
113553,Earth,Earth,Mars,Null,Null,Mars
113555,Earth,Earth,Mars,Null,Null,Null
113552,Earth,Earth,Mars,Null,Null,Venus
113521,Earth,Earth,Mars,Null,Venus,Earth
113524,Earth,Earth,Mars,Null,Venus,Jupiter
113523,Earth,Earth,Mars,Null,Venus,Mars
113525,Earth,Earth,Mars,Null,Venus,Null
113522,Earth,Earth,Mars,Null,Venus,Venus
113211,Earth,Earth,Mars,Venus,Earth,Earth
113214,Earth,Earth,Mars,Venus,Earth,Jupiter
113213,Earth,Earth,Mars,Venus,Earth,Mars
113215,Earth,Earth,Mars,Venus,Earth,Null
113212,Earth,Earth,Mars,Venus,Earth,Venus
113241,Earth,Earth,Mars,Venus,Jupiter,Earth
113244,Earth,Earth,Mars,Venus,Jupiter,Jupiter
113243,Earth,Earth,Mars,Venus,Jupiter,Mars
113245,Earth,Earth,Mars,Venus,Jupiter,Null
113242,Earth,Earth,Mars,Venus,Jupiter,Venus
113231,Earth,Earth,Mars,Venus,Mars,Earth
113234,Earth,Earth,Mars,Venus,Mars,Jupiter
113233,Earth,Earth,Mars,Venus,Mars,Mars
113235,Earth,Earth,Mars,Venus,Mars,Null
113232,Earth,Earth,Mars,Venus,Mars,Venus
113251,Earth,Earth,Mars,Venus,Null,Earth
113254,Earth,Earth,Mars,Venus,Null,Jupiter
113253,Earth,Earth,Mars,Venus,Null,Mars
113255,Earth,Earth,Mars,Venus,Null,Null
113252,Earth,Earth,Mars,Venus,Null,Venus
113221,Earth,Earth,Mars,Venus,Venus,Earth
113224,Earth,Earth,Mars,Venus,Venus,Jupiter
113223,Earth,Earth,Mars,Venus,Venus,Mars
113225,Earth,Earth,Mars,Venus,Venus,Null
113222,Earth,Earth,Mars,Venus,Venus,Venus
115111,Earth,Earth,Null,Earth,Earth,Earth
115114,Earth,Earth,Null,Earth,Earth,Jupiter
115113,Earth,Earth,Null,Earth,Earth,Mars
115115,Earth,Earth,Null,Earth,Earth,Null
115112,Earth,Earth,Null,Earth,Earth,Venus
115141,Earth,Earth,Null,Earth,Jupiter,Earth
115144,Earth,Earth,Null,Earth,Jupiter,Jupiter
115143,Earth,Earth,Null,Earth,Jupiter,Mars
115145,Earth,Earth,Null,Earth,Jupiter,Null
115142,Earth,Earth,Null,Earth,Jupiter,Venus
