case_no,global_algo,local_algo,DV,tof,time_taken,champion
71,ABC,NLOPT-SLSQP,15980.50304596185,1477.2118483919573,0.750051,"[-9.57900221e+02  8.64055142e-02  2.45231613e-01  2.55592941e-01
  3.27079721e-01  9.24858019e-01]"
72,ABC,NLOPT-MMA,13982.059000627993,1702.6201830370264,0.672261,"[-7.71520200e+02  6.13463937e-02  2.12295658e-02  1.56291506e-01
  2.93760254e-01  9.81104808e-01]"
73,CMA-ES,COMPASS,68317.50360108503,1661.0938752432805,0.155398,"[-7.93513637e+02  7.39628192e-02  7.65883054e-02  4.80092506e-01
  4.30626224e-01  9.28270692e-01]"
74,CMA-ES,NLOPT-BOBYQA,38550.23324831041,1112.6769642484983,0.317031,"[-1.04779691e+03  9.16413999e-02  3.08131541e-02  5.81809602e-02
  3.18297363e-01  7.59726484e-01]"
75,CMA-ES,NLOPT-PRAXIS,13324.9331865569,1637.7318071902046,0.66888,"[-8.58888651e+02  1.29196769e-01  2.31747333e-01  1.31669244e-01
  3.15074456e-01  9.96602455e-01]"
76,CMA-ES,NLOPT-COBYLA,20080.295666159414,1451.56749331265,0.372044,"[-1.03209135e+03  1.67158504e-01  1.33937404e-01  2.88272392e-01
  3.38925348e-01  9.80739527e-01]"
77,CMA-ES,NLOPT-SLSQP,75805.62373987562,1397.9291297855914,0.154583,"[-1.00630925e+03  1.10745184e-01  2.14667478e-01  3.18934739e-01
  3.53699912e-01  8.75391195e-01]"
78,CMA-ES,NLOPT-MMA,67532.1816454421,1648.514801704294,0.459837,"[-7.46119742e+02  6.15535734e-02  5.34446293e-02  3.77338472e-01
  2.27744033e-01  9.01329023e-01]"
79,xNES,COMPASS,74613.8175698163,1627.5076948353137,0.146569,"[-8.26188729e+02  3.25639405e-01  2.20165208e-01  1.29168348e-01
  3.43658312e-01  9.38380874e-01]"
80,xNES,NLOPT-BOBYQA,22071.292786721,1456.6748681522822,0.421686,"[-1.01982915e+03  1.61266101e-01  1.13992995e-03  4.16616254e-01
  3.12886153e-01  9.72013949e-01]"
81,xNES,NLOPT-PRAXIS,72581.85755444125,1469.5410266194149,0.277758,"[-1.00383720e+03  1.17840121e-01  2.75535708e-01  4.26971051e-01
  3.80884452e-01  9.53033915e-01]"
