case_no,global_algo,local_algo,DV,tof,time_taken,champion
84,xNES,NLOPT-MMA,18569.116012509094,1801.3262707382953,0.376486,"[-8.16670678e+02  6.41278718e-02  2.46401855e-02  1.40440540e-01
  2.72426877e-01  9.15915231e-01]"
85,NSGA2,COMPASS,121674.74425162158,1898.01939086859,0.143617,"[-7.59203842e+02  1.31765467e-02  3.11763668e-01  2.42348421e-01
  3.31503417e-01  9.01924448e-01]"
86,NSGA2,NLOPT-BOBYQA,20155.19290788733,1564.4716298908038,0.441642,"[-1.04222003e+03  9.89007058e-02  2.85153605e-01  1.52620335e-01
  2.91243571e-01  8.65296668e-01]"
87,NSGA2,NLOPT-PRAXIS,69611.58570699304,1904.1205070950714,0.152297,"[-7.60418671e+02  7.12220884e-02  3.95254302e-02  4.27365135e-01
  3.33703488e-01  9.08695686e-01]"
88,NSGA2,NLOPT-COBYLA,13630.134265206827,1973.155911979773,0.350319,"[-7.37172558e+02  4.08216602e-02  1.69516282e-01  1.93786621e-01
  2.55853461e-01  9.69813880e-01]"
89,NSGA2,NLOPT-SLSQP,116930.29322920667,1699.5047883242044,0.152241,"[-7.32061708e+02  2.77173308e-01  3.26819462e-01  4.03059298e-02
  3.37024056e-01  6.25984374e-01]"
90,NSGA2,NLOPT-MMA,49242.67961198455,1842.4704592135035,0.487794,"[-9.06380449e+02  3.33350171e-01  9.78429450e-02  5.89491226e-02
  2.61706548e-01  9.99000000e-01]"
91,MOEA/D,COMPASS,96160.3656464833,1598.2577238003146,0.141582,"[-9.11624348e+02  2.04162555e-01  1.37106341e-02  6.29626012e-02
  5.35098473e-01  7.44644465e-01]"
92,MOEA/D,NLOPT-BOBYQA,22997.412671146798,1774.678059758141,0.322857,"[-9.49227819e+02  7.95291481e-02  1.00000000e-03  5.60276726e-02
  2.90190445e-01  9.84599552e-01]"
93,MOEA/D,NLOPT-PRAXIS,47135.8972055056,1823.9143967467812,0.427304,"[-9.11235080e+02  3.09729667e-01  2.68556740e-01  5.47764752e-02
  2.71686401e-01  9.84463390e-01]"
94,MOEA/D,NLOPT-COBYLA,47287.492002403604,1905.853836121988,1.451924,"[-8.42671825e+02  2.42686778e-01  1.41477930e-01  2.50541553e-01
  3.27892672e-01  9.98362989e-01]"
95,MOEA/D,NLOPT-SLSQP,132819.75423501423,1942.4836949937687,0.187276,"[-7.57549510e+02  3.94219111e-01  2.08933933e-01  8.00157222e-02
  2.06022531e-01  9.48092288e-01]"
96,MOEA/D,NLOPT-MMA,51945.59004765058,2018.0096853064078,0.729385,"[-7.31000000e+02  1.46079938e-01  2.42167603e-02  3.87756225e-01
  2.94096103e-01  9.99000000e-01]"
97,MHACO,COMPASS,83379.38774090915,1434.7123416213594,0.145431,"[-1.02371210e+03  3.81216257e-02  5.49838519e-02  3.53504451e-01
  2.56763168e-01  7.57246074e-01]"
98,MHACO,NLOPT-BOBYQA,37859.42540839712,1521.785398938893,0.455966,"[-1.04029540e+03  3.43191830e-01  2.83684370e-02  1.22638523e-01
  2.93875123e-01  8.27162399e-01]"
99,MHACO,NLOPT-PRAXIS,85688.37215511603,1840.0504581308883,0.352805,"[-9.08666016e+02  2.47702315e-02  3.29236026e-02  3.69650005e-01
  2.87250744e-01  9.98898497e-01]"
100,MHACO,NLOPT-COBYLA,16300.797517374116,1894.5921126299954,2.761645,"[-8.49586261e+02  7.11950123e-02  2.11964903e-01  1.48235699e-01
  2.83985620e-01  9.95257576e-01]"
101,MHACO,NLOPT-SLSQP,165344.01988752157,1539.9673310527662,0.160652,"[-9.14052797e+02  5.51274419e-02  5.33943327e-01  6.44188833e-02
  3.57917285e-01  5.93139910e-01]"
102,MHACO,NLOPT-MMA,20242.583397791594,1972.1820104328185,1.289584,"[-7.76543264e+02  4.16604264e-02  9.76158189e-03  3.39065830e-01
  2.60962567e-01  9.99000000e-01]"
103,NSPSO,COMPASS,124475.34552846783,1471.6542856671365,0.142028,"[-8.66430070e+02  1.37555223e-01  1.61285260e-01  8.91296516e-02
  3.88011455e-01  6.28524512e-01]"
104,NSPSO,NLOPT-BOBYQA,39869.780953624126,1573.1710951233274,0.300232,"[-1.04760694e+03  1.82332268e-01  7.39643858e-02  1.21870277e-01
  2.68190167e-01  9.03430014e-01]"
105,NSPSO,NLOPT-PRAXIS,15527.998383389704,1896.8976616040516,0.595105,"[-8.39074125e+02  5.03562245e-02  2.43778258e-01  1.31847290e-01
  2.81110137e-01  9.88618453e-01]"
106,NSPSO,NLOPT-COBYLA,27001.45240073185,1616.1909666314407,0.259694,"[-1.06530772e+03  2.39352517e-01  5.95441755e-02  6.54554435e-02
  2.80822618e-01  9.48190625e-01]"
107,NSPSO,NLOPT-SLSQP,119765.71091308162,1492.5219180449076,0.168524,"[-9.47392093e+02  4.47206349e-02  2.00938042e-01  4.23731092e-01
  2.72145681e-01  6.47816548e-01]"
108,NSPSO,NLOPT-MMA,79181.53989218056,919.0731718174809,0.396964,"[-9.97246913e+02  4.18101585e-01  3.85936333e-02  5.52376091e-02
  1.27277731e-01  3.42775382e-01]"
