case_no,global_algo,local_algo,DV,tof,time_taken,champion,,
77,CMA-ES,NLOPT-SLSQP,86412.50895,1849.074518,0.16513,"[-8.32365179e+02  8.78917180e-02  1.35272124e-01  2.72000302e-01
  5.56990249e-01  9.01990158e-01]",35.00521206,-0.248343692
78,CMA-ES,NLOPT-MMA,62589.63971,1971.123621,0.944876,"[-7.78297474e+02  4.39610569e-01  3.64733179e-01  6.03388231e-02
  3.70700576e-01  9.99000000e-01]",25.07901655,-0.198730235
79,xNES,COMPASS,76574.47746,1761.324274,0.147829,"[-7.80017059e+02  1.67690128e-01  4.36773133e-01  4.49269374e-02
  2.60506464e-01  7.70826527e-01]",30.90603228,-0.284014523
80,xNES,NLOPT-BOBYQA,32717.93828,1833.813753,0.572828,"[-8.16833346e+02  1.99533963e-01  1.91661046e-01  2.55774167e-01
  2.10296054e-01  9.04995891e-01]",12.63247428,-0.254547255
81,xNES,NLOPT-PRAXIS,68543.72324,1854.018912,0.321853,"[-8.03797373e+02  2.03534306e-01  2.09576308e-01  1.79098192e-01
  2.63608886e-01  9.11916465e-01]",27.55988468,-0.246333775
82,xNES,NLOPT-COBYLA,27060.42295,1997.347728,0.302554,"[-7.35286219e+02  3.23316543e-02  4.17905269e-01  9.12787538e-02
  2.51698190e-01  9.83513034e-01]",10.27517623,-0.188070029
83,xNES,NLOPT-SLSQP,85512.71763,1880.242217,0.152804,"[-8.62083081e+02  3.26718081e-01  4.16143708e-01  1.54501140e-01
  3.52211306e-01  9.87037776e-01]",34.63029901,-0.235673895
84,xNES,NLOPT-MMA,19906.81916,1802.235373,0.958248,"[-9.45539875e+02  7.81905123e-02  1.00000000e-03  5.62142553e-02
  2.90549488e-01  9.98687961e-01]",7.294507984,-0.267383995
85,NSGA2,COMPASS,65278.60615,1743.282726,0.146999,"[-9.64392581e+02  2.27901874e-01  7.71366291e-02  4.20287336e-01
  3.04471011e-01  9.46429808e-01]",26.19941923,-0.291348486
86,NSGA2,NLOPT-BOBYQA,33473.08571,1804.710449,0.260529,"[-9.43218188e+02  1.72003552e-01  2.35413253e-01  3.40937135e-01
  3.46163573e-01  9.97238962e-01]",12.94711904,-0.266377866
87,NSGA2,NLOPT-PRAXIS,83761.55023,1700.24354,0.368841,"[-9.28761711e+02  6.76398560e-02  1.64292487e-01  4.72762100e-01
  3.95237763e-01  8.22905720e-01]",33.90064593,-0.308844089
88,NSGA2,NLOPT-COBYLA,30181.5751,517.4366429,0.300428,"[-7.84081870e+02  4.32156391e-02  1.49889416e-01  5.60287203e-02
  1.47890490e-01  1.94924574e-01]",11.57565629,-0.789659901
89,NSGA2,NLOPT-SLSQP,90071.72429,1401.734108,0.154045,"[-1.06322550e+03  1.09403406e-01  1.26491040e-02  4.06271081e-02
  6.39876869e-01  6.58820675e-01]",36.52988512,-0.430189387
90,NSGA2,NLOPT-MMA,60041.27063,1248.111114,0.609072,"[-8.62836233e+02  8.40487962e-02  1.74423657e-01  2.56922893e-01
  1.65849891e-01  5.04211695e-01]",24.0171961,-0.492637758
91,MOEA/D,COMPASS,114191.0642,1289.056754,0.148475,"[-8.90099466e+02  3.82435325e-01  6.26437385e-02  1.33074403e-01
  2.43889170e-01  4.52946043e-01]",46.57961007,-0.475993189
92,MOEA/D,NLOPT-BOBYQA,31616.04378,1803.148773,0.37243,"[-9.45294261e+02  1.38617416e-01  3.00197531e-01  2.66908238e-01
  3.54082795e-01  9.98016466e-01]",12.17335157,-0.267012694
93,MOEA/D,NLOPT-PRAXIS,26906.41604,1929.295054,0.436853,"[-7.36028378e+02  2.34083938e-01  1.79434983e-01  1.30167650e-01
  2.79326354e-01  9.21844026e-01]",10.21100668,-0.215733718
94,MOEA/D,NLOPT-COBYLA,31317.70411,2018.016739,1.800801,"[-7.31000000e+02  3.61887903e-01  8.34034187e-02  1.31298720e-01
  2.96295082e-01  9.99000000e-01]",12.04904338,-0.179667992
95,MOEA/D,NLOPT-SLSQP,82791.5741,1422.219591,0.153214,"[-9.93802234e+02  2.32648694e-01  1.50971509e-01  1.17974499e-01
  3.71983171e-01  6.63475669e-01]",33.49648921,-0.421861955
96,MOEA/D,NLOPT-MMA,6845.89134,1814.916528,1.27862,"[-8.21213958e+02  5.02327270e-02  1.80522137e-01  3.39168426e-02
  2.52831449e-01  9.26296646e-01]",1.852454725,-0.262229054
97,MHACO,COMPASS,69908.81939,1794.321359,0.145232,"[-8.02664591e+02  3.38525931e-02  2.01814430e-01  2.28346654e-01
  3.75599610e-01  8.50250306e-01]",28.12867475,-0.270601074
98,MHACO,NLOPT-BOBYQA,16376.84266,1654.238005,0.29387,"[-1.06838856e+03  1.18870162e-01  2.11855922e-01  2.69580931e-01
  2.74591119e-01  9.72948207e-01]",5.823684443,-0.327545527
99,MHACO,NLOPT-PRAXIS,16605.31885,1490.069545,0.377868,"[-9.43707278e+02  1.61945147e-01  1.92218169e-01  1.19522864e-01
  2.74077790e-01  7.34242022e-01]",5.918882856,-0.394280673
100,MHACO,NLOPT-COBYLA,13574.03185,1974.450167,11.208476,"[-7.71784399e+02  4.01965546e-02  2.19438155e-01  1.37337550e-01
  2.73905840e-01  9.97082177e-01]",4.655846603,-0.197377981
101,MHACO,NLOPT-SLSQP,35155.84039,1602.602047,0.15953,"[-8.02534299e+02  7.57943074e-02  1.10611637e-01  2.15039501e-01
  3.41156624e-01  7.04998202e-01]",13.64826683,-0.348535753
102,MHACO,NLOPT-MMA,50990.17642,1777.366251,0.982263,"[-9.71886820e+02  2.18078654e-01  1.00000000e-03  4.76964402e-01
  3.35206883e-01  9.99000000e-01]",20.24590684,-0.277493394
103,NSPSO,COMPASS,121796.071,1307.173179,0.150557,"[-9.33847771e+02  1.18515546e-01  3.48702097e-01  1.65702084e-01
  2.79325781e-01  4.63817382e-01]",49.74836291,-0.468628789
104,NSPSO,NLOPT-BOBYQA,23064.34697,1305.224952,0.31281,"[-9.61917206e+02  5.93683454e-02  3.04152674e-01  1.13968584e-01
  2.55047682e-01  5.93579649e-01]",8.610144573,-0.469420751
105,NSPSO,NLOPT-PRAXIS,22965.91248,1629.958632,0.644374,"[-8.71037077e+02  1.53826868e-01  1.76181908e-01  1.16541137e-01
  2.70746243e-01  7.98386981e-01]",8.569130198,-0.33741519
106,NSPSO,NLOPT-COBYLA,13599.78476,1765.745112,0.446375,"[-9.83102445e+02  1.71141506e-01  9.85804802e-02  2.39294394e-01
  3.36221501e-01  9.98889191e-01]",4.666576985,-0.282217434
107,NSPSO,NLOPT-SLSQP,83055.01571,1622.788498,0.153135,"[-8.95927877e+02  3.37760956e-01  1.93641824e-02  2.58297812e-01
  3.72554545e-01  7.21718638e-01]",33.60625655,-0.340329879
108,NSPSO,NLOPT-MMA,47675.61942,1673.55996,0.775596,"[-1.07576395e+03  4.26244831e-01  2.06832339e-01  1.61798397e-01
  3.55483223e-01  9.99000000e-01]",18.86484143,-0.319691073
