t_depart [mjd2000],t_arrive [mjd2000],DV [km/s],champ_inter,champ_plan
11411.120223358637,15812.085452261887,2.855569313665236,"[1.14111202e+04 3.98982759e+03 6.06179977e-01 6.03160095e-01
 1.73278838e-01 1.71742740e-01]",[  1.77918985   0.47048438 411.1376427 ]
11411.120223358637,15828.139678844083,3.1038305808215356,"[1.14111202e+04 4.01500000e+03 5.42738439e-01 5.43447754e-01
 1.18972473e-01 1.14407797e-01]",[  1.75297584   0.47250908 402.01945549]
11417.327119910362,15110.489260317681,4.85532348705546,"[1.14173271e+04 3.28500000e+03 6.86510611e-01 6.81163607e-01
 3.43244583e-01 3.32885826e-01]",[  1.75899554   0.45504453 408.16214041]
11417.327119910362,15110.520883591695,4.642309579842379,"[1.14173271e+04 3.31017241e+03 7.01749136e-01 6.98261780e-01
 3.66258925e-01 3.47703567e-01]",[  1.68657096   0.45929858 383.02134989]
11417.327119910362,15142.422075415941,4.756890041802079,"[1.14173271e+04 3.33534483e+03 6.91895985e-01 6.85806038e-01
 3.52881374e-01 3.24681595e-01]",[  1.70808535   0.4614388  389.75012792]
11417.327119910362,15190.191972523124,4.734480043712101,"[1.14173271e+04 3.36051724e+03 7.29932641e-01 7.22447618e-01
 4.09007112e-01 3.73533985e-01]",[  1.77585646   0.46220095 412.34761123]
11417.327119910362,15158.321006768503,4.058075984987345,"[1.14173271e+04 3.38568966e+03 7.06162702e-01 6.98921052e-01
 3.71284363e-01 3.30671220e-01]",[  1.65         0.47992873 355.30423169]
11417.327119910362,15206.124634270729,4.1850662612305225,"[1.14173271e+04 3.41086207e+03 5.97489498e-01 5.87919768e-01
 2.30979075e-01 1.89180973e-01]",[  1.6758823    0.46639192 377.93544539]
11417.327119910362,15270.006037908453,4.452210134251685,"[1.14173271e+04 3.43603448e+03 6.13434939e-01 6.10043158e-01
 2.49910941e-01 2.02325843e-01]",[  1.7916854    0.46730417 416.64443524]
11417.327119910362,15285.890871516494,4.030654851213115,"[1.14173271e+04 3.46120690e+03 6.81148905e-01 6.73584739e-01
 3.36272389e-01 2.76088438e-01]",[  1.76536198   0.46880382 407.35685505]
11417.327119910362,15285.893276782677,4.269866053699767,"[1.14173271e+04 3.48637931e+03 5.63762964e-01 5.58075919e-01
 1.98272586e-01 1.43704913e-01]",[  1.69109116   0.46985981 382.18684653]
11417.327119910362,15365.674945070905,3.7737617241609915,"[1.14173271e+04 3.51155172e+03 5.38414844e-01 5.28381212e-01
 1.71617786e-01 1.16283203e-01]",[  1.85         0.46700331 436.79610102]
11417.327119910362,15381.523281245501,4.080541106975044,"[1.14173271e+04 3.53672414e+03 3.85497051e-01 3.79350698e-01
 6.76918595e-02 3.51927162e-02]",[  1.82630625   0.47145858 427.4720234 ]
11417.327119910362,15381.63556073705,3.9665506660204346,"[1.14173271e+04 3.56189655e+03 6.86338989e-01 6.80434867e-01
 3.45013704e-01 2.60600947e-01]",[  1.75344475   0.47271639 402.4118891 ]
11417.327119910362,15397.4804884061,3.7264338727951145,"[1.14173271e+04 3.58706897e+03 5.21101163e-01 5.12875562e-01
 1.57530684e-01 9.35019742e-02]",[  1.72603084   0.47262029 393.08440298]
11417.327119910362,15477.384091796612,3.956382775685059,"[1.14173271e+04 3.61224138e+03 6.68152056e-01 6.57047052e-01
 2.35068863e-01 3.29011869e-01]",[1.85000000e+00 4.15676873e-01 4.47815593e+02]
11417.327119910362,15445.405272427306,3.7112525112192127,"[1.14173271e+04 3.63741379e+03 6.52253491e-01 6.44731386e-01
 2.17583001e-01 3.02288280e-01]",[  1.70474913   0.45175945 390.66435941]
11417.327119910362,15493.20881602359,3.82351914526324,"[1.14173271e+04 3.66258621e+03 7.16017122e-01 7.09113857e-01
 3.04357217e-01 3.85434441e-01]",[  1.77286714   0.45328538 413.29548922]
11417.327119910362,15525.171450000627,3.8385593716602653,"[1.14173271e+04 3.68775862e+03 6.17862735e-01 6.12450951e-01
 1.80127039e-01 2.48101395e-01]",[  1.7944912    0.45637547 420.0857094 ]
11417.327119910362,15556.956259339026,3.5163759952873734,"[1.14173271e+04 3.71293103e+03 6.64695686e-01 6.55691113e-01
 2.32601638e-01 2.97584786e-01]",[  1.81510985   0.45818918 426.69810495]
11417.327119910362,15573.00967223548,3.522193310572857,"[1.14173271e+04 3.73810345e+03 6.08008175e-01 5.96233577e-01
 1.67253786e-01 2.18127692e-01]",[  1.79053448   0.46194983 417.57910405]
11417.327119910362,15572.918894571012,3.3384749647549574,"[1.14173271e+04 3.76327586e+03 7.39305493e-01 7.32356838e-01
 3.40782668e-01 3.93587150e-01]",[  1.71746965   0.46451512 392.31591259]
11417.327119910362,15620.798134068364,3.5614441862505104,"[1.14173271e+04 3.78844828e+03 5.74893497e-01 5.59582093e-01
 1.36420899e-01 1.72335292e-01]",[  1.78548518   0.46567578 415.0227383 ]
11417.327119910362,15636.712066378715,3.550914929829195,"[1.14173271e+04 3.81362069e+03 7.14403946e-01 7.05776422e-01
 3.85065932e-01 2.45709311e-01]",[  1.76792722   0.48310508 405.76425681]
11417.327119910362,15652.632246928817,3.192350955929494,"[1.14173271e+04 3.83879310e+03 5.65379504e-01 5.53694091e-01
 1.29119456e-01 1.54091281e-01]",[  1.73273199   0.46819054 396.51202357]
11417.327119910362,15668.673023421978,3.170351546282157,"[1.14173271e+04 3.86396552e+03 7.16498967e-01 7.07928750e-01
 3.03746795e-01 3.29087787e-01]",[  1.70650063   0.47041763 387.38038627]
11417.327119910362,15684.515190589218,3.266324355140194,"[1.14173271e+04 3.88913793e+03 6.08297985e-01 6.01786444e-01
 1.70059369e-01 1.87748559e-01]",[  1.67866672   0.46938758 378.05013964]
11417.327119910362,15732.45004177417,3.221025731192524,"[1.14173271e+04 3.91431034e+03 5.33866725e-01 5.23257343e-01
 1.05425729e-01 1.14872889e-01]",[  1.74773198   0.4714202  400.81257704]
11417.327119910362,15812.268950248541,3.254021355675113,"[1.14173271e+04 3.93948276e+03 5.22191016e-01 5.16545216e-01
 1.00133880e-01 1.06125150e-01]",[1.85000000e+00 3.83070752e-01 4.55459072e+02]
11417.327119910362,15780.198594501871,2.9016137582599706,"[1.14173271e+04 3.96465517e+03 6.37363662e-01 6.26536364e-01
 1.99465348e-01 2.01195345e-01]",[  1.74307969   0.48300072 398.21630218]
11417.327119910362,15828.115868131243,3.4779528233878394,"[1.14173271e+04 3.98982759e+03 7.42272064e-01 5.83272823e-01
 4.48416029e-01 3.46106937e-01]",[  1.80842419   0.47188854 420.96116201]
11417.327119910362,15827.991062209203,3.1502517782864397,"[1.14173271e+04 4.01500000e+03 7.65935048e-01 7.58788375e-01
 3.84233179e-01 3.76549550e-01]",[  1.73623256   0.48369966 395.6639423 ]
11423.534016462087,15126.521179096382,5.309834301838073,"[1.14235340e+04 3.28500000e+03 4.45982337e-01 4.33986663e-01
 9.88030721e-02 9.10601007e-02]",[  1.78809791   0.45568715 417.98716263]
11423.534016462087,15110.451442356687,5.196390285667279,"[1.14235340e+04 3.31017241e+03 8.80847693e-01 6.40546799e-01
 5.77655692e-01 1.56353610e-01]",[  1.68006301   0.47344787 376.7450121 ]
11423.534016462087,15126.41912253033,4.926258910261524,"[1.14235340e+04 3.33534483e+03 4.41960953e-01 4.32079418e-01
 9.60278689e-02 7.99556695e-02]",[  1.65         0.48227983 367.54027848]
11423.534016462087,15190.24722714831,4.826601432446374,"[1.14235340e+04 3.36051724e+03 7.57077678e-01 7.50186517e-01
 4.48961166e-01 4.15038270e-01]",[  1.75812006   0.46292078 406.19596931]
11423.534016462087,15222.090496293364,4.835818284056447,"[1.14235340e+04 3.38568966e+03 6.23260045e-01 6.16298285e-01
 2.57505882e-01 2.19712001e-01]",[  1.77874658   0.46420696 412.86682466]
11423.534016462087,15206.229934394396,5.358850275834532,"[1.14235340e+04 3.41086207e+03 5.63571219e-01 5.55570519e-01
 1.96253866e-01 1.54541741e-01]",[  1.65779281   0.46738702 371.83384897]
11423.534016462087,15253.960765950946,4.670764709148996,"[1.14235340e+04 3.43603448e+03 5.88904732e-01 5.78593268e-01
 2.19064263e-01 1.70422237e-01]",[  1.72618272   0.46724617 394.39226673]
11423.534016462087,15317.849604267944,4.589157546062795,"[1.14235340e+04 3.46120690e+03 6.78307942e-01 6.71232131e-01
 3.27941544e-01 2.68386108e-01]",[  1.8404768    0.46816193 433.10869125]
11423.534016462087,15333.717917060287,4.509996197066124,"[1.14235340e+04 3.48637931e+03 4.88921323e-01 4.78595593e-01
 1.28620509e-01 8.45841745e-02]",[  1.8143359    0.46934875 423.80459025]
11423.534016462087,15397.721517086853,4.5655934966418785,"[1.14235340e+04 3.51155172e+03 6.34020181e-01 6.24944984e-01
 2.71314287e-01 2.01289935e-01]",[1.85000000e+00 3.56509418e-01 4.62635776e+02]
11423.534016462087,15365.657100185934,4.638479426520101,"[1.14235340e+04 3.53672414e+03 7.32326126e-01 7.26609945e-01
 4.10133861e-01 3.31022203e-01]",[  1.76185916   0.47232901 405.39894579]
11423.534016462087,15349.596951501955,4.239139131049649,"[1.14235340e+04 3.56189655e+03 6.37887582e-01 6.24718496e-01
 1.94477576e-01 2.98013462e-01]",[  1.65         0.48829153 364.16638332]
11423.534016462087,15397.635030189022,3.9950322845561037,"[1.14235340e+04 3.58706897e+03 4.87752031e-01 4.72868258e-01
 7.39355314e-02 1.39163144e-01]",[  1.68994042   0.44521734 387.03204821]
11423.534016462087,15429.411973718115,4.103191478441924,"[1.14235340e+04 3.61224138e+03 7.17396665e-01 7.06859681e-01
 3.01173871e-01 3.95752112e-01]",[  1.71165823   0.44823824 393.63657795]
11423.534016462087,15461.342994048005,4.303938099401097,"[1.14235340e+04 3.63741379e+03 6.68910951e-01 6.63321761e-01
 3.17057516e-01 2.18097792e-01]",[  1.74903313   0.47513931 400.39518448]
11423.534016462087,15493.226671061093,3.757433393007831,"[1.14235340e+04 3.66258621e+03 6.81755984e-01 6.70312968e-01
 2.47913249e-01 3.27147233e-01]",[  1.75536767   0.4545827  407.1064477 ]
11423.534016462087,15509.158300901152,3.943940265476086,"[1.14235340e+04 3.68775862e+03 6.48886840e-01 6.40784656e-01
 2.11051271e-01 2.80318893e-01]",[  1.73005902   0.45807554 397.86566375]
