t_depart [mjd2000],t_arrive [mjd2000],DV [km/s],champ_inter,champ_plan
12105.757944100815,16051.312846642544,2.667819688012407,"[1.21057579e+04 3.56189655e+03 7.40697330e-01 5.52167381e-01
 2.00753520e-01 1.37824817e-01 9.71933845e-02]",[  1.70300348   0.48743631 383.65835082]
12105.757944100815,16067.239805640093,2.8014683272555416,"[1.21057579e+04 3.58706897e+03 7.80004155e-01 6.09813953e-01
 2.63536876e-01 1.88643469e-01 1.40873706e-01]",[  1.67530504   0.48777201 374.41289602]
12105.757944100815,16115.093758727133,2.645548717151927,"[1.21057579e+04 3.61224138e+03 8.46333572e-01 7.19885357e-01
 4.11461461e-01 3.27562998e-01 2.66918023e-01]",[  1.74138823   0.47165141 397.09443532]
12105.757944100815,16131.118579978434,2.7662115619354117,"[1.21057579e+04 3.63741379e+03 7.93482813e-01 6.34425863e-01
 2.92452368e-01 2.11469144e-01 1.54679404e-01]",[  1.7146173    0.4733519  387.94684277]
12105.757944100815,16162.851853188859,2.510209957868118,"[1.21057579e+04 3.66258621e+03 8.09767852e-01 6.59198770e-01
 3.24734263e-01 2.38039384e-01 1.78941692e-01]",[  1.73711329   0.48921619 394.50770219]
12105.757944100815,16226.74348407839,2.6258682011756926,"[1.21057579e+04 3.68775862e+03 7.57540610e-01 5.77413320e-01
 2.26874428e-01 1.51433147e-01 9.82695140e-02]",[  1.85         0.49075334 433.22691929]
12105.757944100815,16258.64445124131,2.6484829797332687,"[1.21057579e+04 3.71293103e+03 8.28932701e-01 6.90202942e-01
 3.68264432e-01 2.73878848e-01 2.06857843e-01]",[  1.85         0.45158637 439.95547266]
12105.757944100815,16258.58932245747,2.772201333649986,"[1.21057579e+04 3.73810345e+03 7.82562979e-01 6.15286703e-01
 2.71880245e-01 1.83373594e-01 1.24842282e-01]",[  1.79832499   0.49140393 414.72793008]
12105.757944100815,16274.55255223592,2.3983626780580822,"[1.21057579e+04 3.76327586e+03 8.13723120e-01 6.66220827e-01
 3.34340893e-01 2.37149042e-01 1.71140648e-01]",[  1.77128574   0.49139301 405.51874607]
12105.757944100815,16258.598025237314,2.3842754810668594,"[1.21057579e+04 3.78844828e+03 8.16606274e-01 6.70980341e-01
 3.40861501e-01 2.40965244e-01 1.72594001e-01]",[  1.65         0.47397674 364.39180527]
12105.757944100815,16290.53238528567,2.5680663505313577,"[1.21057579e+04 3.81362069e+03 8.86217198e-01 7.87261554e-01
 5.25261947e-01 4.28616866e-01 3.40891877e-01]",[  1.66803356   0.49068766 371.15375153]
12105.757944100815,16306.359728949708,2.3884696927997484,"[1.21057579e+04 3.83879310e+03 8.42333598e-01 7.13302601e-01
 4.02249599e-01 2.95624093e-01 2.17432397e-01]",[  1.65         0.49438896 361.8086814 ]
12105.757944100815,16370.248173955046,2.7048748506493814,"[1.21057579e+04 3.86396552e+03 7.91172900e-01 6.29757555e-01
 2.87197137e-01 1.94299834e-01 1.16322380e-01]",[  1.75751271   0.49266732 400.52471261]
12105.757944100815,16370.19543638143,2.5186259306201713,"[1.21057579e+04 3.88913793e+03 8.31998927e-01 6.98729455e-01
 3.81667391e-01 2.70785548e-01 1.91909190e-01]",[  1.68121839   0.49117321 375.29956125]
12105.757944100815,16449.986787474467,2.8236606755398874,"[1.21057579e+04 3.91431034e+03 8.62457004e-01 7.54417182e-01
 4.66349732e-01 3.57786615e-01 2.64270230e-01]",[  1.849747     0.47488237 429.91849855]
12105.757944100815,16481.9416571032,2.420606010755401,"[1.21057579e+04 3.93948276e+03 8.79609109e-01 7.78344692e-01
 5.07863305e-01 3.96297254e-01 3.02331579e-01]",[  1.85         0.4638522  436.70095438]
12105.757944100815,16465.82815225153,2.661821403882664,"[1.21057579e+04 3.96465517e+03 8.87081541e-01 7.90007971e-01
 5.29023815e-01 4.13422744e-01 3.25515808e-01]",[  1.74266368   0.49242403 395.41503574]
12105.757944100815,16497.83142492143,2.727206736630493,"[1.21057579e+04 3.98982759e+03 8.53488963e-01 7.38279374e-01
 4.40483743e-01 3.13550215e-01 2.35105426e-01]",[  1.76335343   0.49384335 402.24589461]
12105.757944100815,16513.680625387,2.3096140280878807,"[1.21057579e+04 4.01500000e+03 8.10920378e-01 6.63689240e-01
 3.31618292e-01 2.15202942e-01 1.32794967e-01]",[  1.73551969   0.49251609 392.92268129]
12111.964840652538,15812.156694285317,3.49380834698911,"[1.21119648e+04 3.28500000e+03 7.91924860e-01 6.20250298e-01
 2.71131740e-01 2.39757233e-01 1.90290909e-01]",[  1.7882781    0.46805652 415.19185363]
12111.964840652538,15796.21712787884,3.04543082569073,"[1.21119648e+04 3.31017241e+03 7.14453003e-01 2.72574417e-01
 1.98316011e-01 2.52710880e-01 1.73385217e-01]",[  1.66276219   0.46468312 374.07987343]
12111.964840652538,15875.89473446351,3.261797934582472,"[1.21119648e+04 3.33534483e+03 7.66546972e-01 3.56108567e-01
 2.76857612e-01 3.32305429e-01 2.40419301e-01]",[  1.82471199   0.46385133 428.58506622]
12111.964840652538,15891.932272326187,3.3234142683354326,"[1.21119648e+04 3.36051724e+03 7.26461926e-01 2.88024554e-01
 2.11789361e-01 2.60615228e-01 1.74934535e-01]",[  1.79950983   0.46653151 419.45019029]
12111.964840652538,15875.832413008777,3.1909201620660617,"[1.21119648e+04 3.38568966e+03 7.68690778e-01 3.59724891e-01
 2.81124337e-01 3.27405325e-01 2.33918357e-01]",[  1.68065969   0.48091297 378.17791718]
12111.964840652538,15971.751365034695,3.057766901994947,"[1.21119648e+04 3.41086207e+03 7.52162814e-01 3.33555493e-01
 2.54502905e-01 2.99710955e-01 2.02040501e-01]",[1.85000000e+00 4.10736116e-01 4.48924455e+02]
12111.964840652538,15939.646458584199,2.800938160698552,"[1.21119648e+04 3.43603448e+03 8.03350586e-01 4.30180547e-01
 3.49905310e-01 3.95233000e-01 2.84322299e-01]",[  1.72299351   0.48365113 391.64713517]
12111.964840652538,16003.495913208148,3.1872315892570486,"[1.21119648e+04 3.46120690e+03 7.57681754e-01 5.69921574e-01
 2.15849040e-01 1.60734979e-01 1.20878503e-01]",[  1.83666186   0.47041888 430.324176  ]
12111.964840652538,16003.531303447347,3.051917949234964,"[1.21119648e+04 3.48637931e+03 8.51852564e-01 5.35232846e-01
 4.60576457e-01 5.00790826e-01 3.77716320e-01]",[  1.76189459   0.47006833 405.18715245]
12111.964840652538,15987.500176387533,2.7910089759094614,"[1.21119648e+04 3.51155172e+03 8.15855707e-01 4.54923148e-01
 3.76026336e-01 4.13603838e-01 2.88517607e-01]",[  1.65        0.4756635 363.9836116]
12111.964840652538,16067.343186752525,2.864147477177117,"[1.21119648e+04 3.53672414e+03 8.18657644e-01 4.60689708e-01
 3.80954388e-01 4.17001709e-01 2.85994976e-01]",[  1.80286899   0.47149388 418.65420817]
12111.964840652538,16083.188293829655,2.9238407299823708,"[1.21119648e+04 3.56189655e+03 7.69667472e-01 3.66605148e-01
 2.86002751e-01 3.17323202e-01 1.93450318e-01]",[  1.77552349   0.4697332  409.32690145]
12111.964840652538,16051.351740432292,2.92700412347201,"[1.21119648e+04 3.58706897e+03 8.25546354e-01 6.77937910e-01
 3.47551571e-01 2.67840473e-01 2.10776003e-01]",[  1.65         0.45582244 352.31793426]
12111.964840652538,16147.013977771821,2.9403180279967778,"[1.21119648e+04 3.61224138e+03 8.12184123e-01 6.56132479e-01
 3.18380732e-01 2.36958984e-01 1.81675102e-01]",[  1.81754255   0.47203597 422.80775781]
12111.964840652538,16146.940210375902,2.824824081751286,"[1.21119648e+04 3.63741379e+03 8.14044280e-01 4.51096960e-01
 3.70553892e-01 3.98452064e-01 2.51006815e-01]",[  1.74517545   0.48861699 397.56157662]
12111.964840652538,16194.900229101326,2.802468890682964,"[1.21119648e+04 3.66258621e+03 8.07602093e-01 6.48935763e-01
 3.08922897e-01 2.23171225e-01 1.65413097e-01]",[  1.81120829   0.47311263 420.34918155]
12111.964840652538,16210.692431880898,2.870355308543845,"[1.21119648e+04 3.68775862e+03 8.07282903e-01 4.33894971e-01
 3.55202056e-01 3.81660427e-01 2.21404744e-01]",[  1.78591665   0.48965022 410.96897054]
12111.964840652538,16210.80354258039,2.4679736004806165,"[1.21119648e+04 3.71293103e+03 8.00550676e-01 4.26439228e-01
 3.46029058e-01 3.69045095e-01 2.10227665e-01]",[  1.71132874   0.4897566  385.90766745]
12111.964840652538,16258.54666490425,2.643815027191792,"[1.21119648e+04 3.73810345e+03 7.62361103e-01 3.51882922e-01
 2.73414655e-01 2.92775918e-01 1.43182991e-01]",[  1.77925442   0.49065335 408.47837598]
12111.964840652538,16226.691924991926,2.814678018640354,"[1.21119648e+04 3.76327586e+03 8.72900412e-01 5.93680063e-01
 5.23831067e-01 5.39728780e-01 3.72263787e-01]",[  1.65         0.4666102  351.45122227]
12111.964840652538,16274.603189439928,2.859702643262617,"[1.21119648e+04 3.78844828e+03 8.71138913e-01 7.58263547e-01
 4.71946012e-01 3.73474959e-01 2.90842525e-01]",[  1.67451861   0.47294405 374.19007293]
12111.964840652538,16354.287091504064,2.846545469694139,"[1.21119648e+04 3.81362069e+03 8.25063817e-01 4.74538877e-01
 3.98161195e-01 4.10423595e-01 2.34061821e-01]",[  1.83659808   0.47177863 428.7015612 ]
12111.964840652538,16370.258525719768,2.7127869863843297,"[1.21119648e+04 3.83879310e+03 8.87301338e-01 6.33085798e-01
 5.65807351e-01 5.77394253e-01 4.02776325e-01]",[  1.81313653   0.49302345 419.50058162]
12111.964840652538,16370.218639678373,2.7900363626833204,"[1.21119648e+04 3.86396552e+03 8.30431392e-01 4.88962043e-01
 4.10819324e-01 4.33783804e-01 2.30181539e-01]",[  1.73548886   0.47165301 394.28828178]
12111.964840652538,16370.317381487712,2.611609913763303,"[1.21119648e+04 3.88913793e+03 8.56173785e-01 7.31293729e-01
 4.27894465e-01 3.16542374e-01 2.32041533e-01]",[  1.66014623   0.4735396  369.2146098 ]
12111.964840652538,16449.912711033936,2.584974561473978,"[1.21119648e+04 3.91431034e+03 7.90708681e-01 4.05042702e-01
 3.25486844e-01 3.34281658e-01 1.52850848e-01]",[  1.82594924   0.493321   423.63752555]
12111.964840652538,16465.949741436605,2.6283948287483345,"[1.21119648e+04 3.93948276e+03 7.61593258e-01 3.50642568e-01
 2.72204325e-01 2.77586208e-01 1.09852892e-01]",[  1.79612159   0.47196335 414.50214216]
12111.964840652538,16481.855108777156,2.8129878663941077,"[1.21119648e+04 3.96465517e+03 8.85437850e-01 6.25505471e-01
 5.56269527e-01 5.68116870e-01 3.63126810e-01]",[  1.7720865    0.49384899 405.23509571]
12111.964840652538,16545.688917296837,2.302823245330949,"[1.21119648e+04 3.98982759e+03 9.00649723e-01 6.70752924e-01
 6.08129740e-01 6.15033126e-01 4.16844075e-01]",[1.85000000e+00 4.33267505e-01 4.43896490e+02]
12111.964840652538,16529.724298468762,2.6466589453005698,"[1.21119648e+04 4.01500000e+03 7.80441439e-01 3.87222627e-01
 3.08074606e-01 3.15060603e-01 1.20433562e-01]",[  1.76505806   0.49397803 402.75945782]
12118.171737204262,15796.164855033818,3.6087964669404387,"[1.21181717e+04 3.28500000e+03 7.01405744e-01 2.34857736e-01
 1.67254592e-01 2.18434334e-01 1.48197917e-01]",[  1.71816493   0.46189608 392.99311783]
12118.171737204262,15812.176094672945,3.2846138233748827,"[1.21181717e+04 3.31017241e+03 8.19615665e-01 4.49236577e-01
 3.68935438e-01 4.27240453e-01 3.38124524e-01]",[  1.69237056   0.46482729 383.83194368]
12118.171737204262,15875.9395952677,3.365477255562125,"[1.21181717e+04 3.33534483e+03 8.09108743e-01 4.26653857e-01
 3.47613033e-01 3.97584926e-01 3.12082050e-01]",[  1.80685139   0.46419345 422.42303048]
12118.171737204262,15859.955965105042,3.0266581553412726,"[1.21181717e+04 3.36051724e+03 7.94246643e-01 3.97010506e-01
 3.17535301e-01 3.69824055e-01 2.71780364e-01]",[  1.68657586   0.46640919 381.26698652]
12118.171737204262,15891.877880513639,3.304405005673353,"[1.21181717e+04 3.38568966e+03 8.38117667e-01 4.96949496e-01
 4.19391898e-01 4.69344659e-01 3.65983292e-01]",[  1.71086727   0.48240292 388.01648814]
12118.171737204262,15891.756776303333,3.1001847105547826,"[1.21181717e+04 3.41086207e+03 7.69336704e-01 3.51205225e-01
 2.71233569e-01 3.18044639e-01 2.15557265e-01]",[  1.65         0.49196472 362.72297013]
12118.171737204262,15955.666640801343,2.7591481368242943,"[1.21181717e+04 3.43603448e+03 7.60448181e-01 3.33632132e-01
 2.55525274e-01 2.98342753e-01 1.93359257e-01]",[  1.75257616   0.4846645  401.46042084]
12118.171737204262,15955.63296685976,2.784863337583817,"[1.21181717e+04 3.46120690e+03 7.57531171e-01 3.28066249e-01
 2.50398045e-01 2.90154776e-01 1.82410652e-01]",[  1.67464672   0.46965083 376.2543331 ]
12118.171737204262,16019.455339944892,2.6742468114401996,"[1.21181717e+04 3.48637931e+03 7.02335502e-01 2.42948217e-01
 1.72278652e-01 2.06044128e-01 1.10579871e-01]",[  1.79060968   0.47016098 414.9042924 ]
12118.171737204262,16003.521344722805,2.8732963667158993,"[1.21181717e+04 3.51155172e+03 8.69636502e-01 5.71378536e-01
 4.97967992e-01 5.35223824e-01 4.10120386e-01]",[  1.66851557   0.47082682 373.79788338]
12118.171737204262,16051.296674750534,2.8616164929301715,"[1.21181717e+04 3.53672414e+03 7.76461597e-01 3.66810944e-01
 2.86250185e-01 3.22326776e-01 1.96416838e-01]",[  1.73692965   0.47008952 396.40079962]
12118.171737204262,16115.179579314396,2.707562972482392,"[1.21181717e+04 3.56189655e+03 7.68058256e-01 3.48088818e-01
 2.69659689e-01 3.02972639e-01 1.75131801e-01]",[  1.85         0.47057864 435.11129039]
12118.171737204262,16067.16578451812,2.8940060880821177,"[1.21181717e+04 3.58706897e+03 8.47096283e-01 5.16744880e-01
 4.39792255e-01 4.70976105e-01 3.28521773e-01]",[  1.65         0.49348319 361.9250818 ]
12118.171737204262,16099.223490857803,2.9681380058238003,"[1.21181717e+04 3.61224138e+03 8.01965769e-01 4.07861863e-01
 3.29244355e-01 3.58894214e-01 2.15049861e-01]",[  1.65532334   0.47226701 368.81037434]
12118.171737204262,16162.95368314073,2.9040485464749697,"[1.21181717e+04 3.63741379e+03 7.75073049e-01 3.56337092e-01
 2.77864463e-01 3.03104340e-01 1.66751294e-01]",[  1.77145576   0.4709863  407.36815283]
12118.171737204262,16194.789898483677,2.859370028294002,"[1.21181717e+04 3.66258621e+03 7.97954970e-01 4.08356973e-01
 3.26739913e-01 3.51695292e-01 2.05100279e-01]",[  1.79460472   0.48970891 414.03195438]
12118.171737204262,16226.725655116774,2.414581935789198,"[1.21181717e+04 3.68775862e+03 8.31958806e-01 4.79905854e-01
 4.01541623e-01 4.25146966e-01 2.65963581e-01]",[  1.81507172   0.49100825 420.79529722]
12118.171737204262,16210.694448873408,2.5517661009989983,"[1.21181717e+04 3.71293103e+03 8.16837056e-01 4.45664416e-01
 3.65547565e-01 3.88763847e-01 2.26641367e-01]",[  1.69211813   0.48866855 379.59167719]
12118.171737204262,16274.5870195063,2.971718337729067,"[1.21181717e+04 3.73810345e+03 8.35601671e-01 4.83495787e-01
 4.04483667e-01 4.27005139e-01 2.54759780e-01]",[  1.80856419   0.49178218 418.31183403]
12118.171737204262,16274.48884402063,2.714359664470947,"[1.21181717e+04 3.76327586e+03 8.54750516e-01 5.33760718e-01
 4.59421924e-01 4.74289295e-01 3.06015633e-01]",[  1.73339126   0.48990017 393.04124475]
