case_no,global_algo,local_algo,DV_Glob,tof_Glob,DV,tof,champion
26,GWO,NLOPT-BOBYQA,2444.6063243408735,2907.2814316244426,2349.430429292639,2907.196547305651,"[-1.06396060e+03  7.11552742e-03  3.97985219e-01  4.99986868e+03
  2.39839536e-02  2.45311182e-01 -1.74929110e+00  1.11899475e+00
  1.37544082e-02  2.54115107e-02 -1.46125162e+00  1.10001373e+00
  1.71317310e-02  2.03754847e-01 -1.54542956e+00  1.30625074e+02
  2.93360376e-02  7.10794408e-01]"
28,GWO,NLOPT-COBYLA,2848.473375948108,3484.9422395225474,2847.624076795723,3484.9415706249715,"[-7.31038782e+02  1.58321939e-03  3.13711638e-01  4.31676339e+03
  6.85502721e-02  4.71439250e-02 -1.53907786e+00  1.10006331e+00
  1.36359353e-02  2.19173981e-01 -1.73886137e+00  1.10000142e+00
  1.97905866e-01  2.19653967e-01 -1.46195653e+00  2.34349554e+02
  2.79260288e-02  9.92589580e-01]"
29,GWO,NLOPT-SLSQP,2837.630291833307,3497.4113471714245,2837.630291833307,3497.4113471714245,"[-7.31000000e+02  1.24909214e-03  3.13606654e-01  4.31732476e+03
  1.68001055e-02  4.71204101e-02 -1.53681224e+00  1.10001647e+00
  1.24485209e-02  2.19251845e-01 -1.85316126e+00  1.10001805e+00
  1.05594076e-02  2.19836881e-01 -1.38963919e+00  2.18736135e+02
  2.52060085e-02  9.98725701e-01]"
45,GPSO,NLOPT-PRAXIS,2343.6871457563584,2955.4232917837753,2343.6871452010964,2955.423291804733,"[-1.06402449e+03  1.00000000e+00  3.95037217e-01  5.00000000e+03
  1.00000000e-02  2.45143002e-01  4.53014176e+00  1.10000000e+00
  3.89259511e-01  2.57076606e-02  4.81836545e+00  1.10000000e+00
  1.00000000e-02  2.05317379e-01  4.74174000e+00  1.24578114e+02
  4.66405913e-02  7.33778376e-01]"
27,GWO,NLOPT-PRAXIS,2805.39593177932,3497.2525182479267,2805.2929534144846,3497.250319586233,"[-7.32742211e+02  7.30540593e-03  3.14893637e-01  4.29490551e+03
  2.48048517e-02  4.77118798e-02 -1.53138895e+00  1.10000000e+00
  1.08724502e-02  2.19003990e-01  4.46118942e+00  1.10000036e+00
  8.77449174e-02  2.20104631e-01  4.86023694e+00  2.19342264e+02
  3.20894105e-02  9.98645557e-01]"
44,GPSO,NLOPT-BOBYQA,2594.6519164786027,2996.852866325382,2594.651909181226,2996.852865413415,"[-7.90270853e+02  8.39662703e-01  8.63613612e-01  4.06880869e+03
  1.00022027e-02  4.21766938e-02  4.30523256e+00  1.78890929e+00
  8.48178547e-01  1.47216949e-01 -1.55108396e+00  1.10000000e+00
  1.00000000e-02  1.96979911e-01 -1.52941523e+00  1.07255658e+02
  1.00000238e-02  7.80832281e-01]"
43,GPSO,COMPASS,2619.5643299558524,3497.7201898848098,2619.5643299558524,3497.7201898848098,"[-7.63396353e+02  8.16741340e-01  7.56539270e-01  4.28242213e+03
  1.00000000e-02  3.78056138e-02  4.63649218e+00  2.18605012e+00
  8.13374195e-01  1.43867096e-01  4.69315410e+00  1.10000000e+00
  1.00000000e-02  2.09272969e-01 -1.51342017e+00  7.63182872e+01
  1.00000000e-02  9.99000000e-01]"
46,GPSO,NLOPT-COBYLA,2891.8849348450126,3497.8186318450275,2891.8779964593164,3497.8192457363157,"[-8.71722055e+02  8.17907073e-01  5.62992697e-01  4.99999969e+03
  2.90370542e-01  6.51653349e-02 -1.25374675e+00  1.81579877e+00
  8.32802476e-01  1.51520464e-01  4.74550299e+00  1.10000008e+00
  1.00000001e-02  2.14544194e-01 -1.51676463e+00  8.15872114e+01
  1.00053464e-02  9.98999906e-01]"
30,GWO,NLOPT-MMA,FAILED,,,,
47,GPSO,NLOPT-SLSQP,2393.690631285428,3385.7019650409875,2393.690631285428,3385.7019650409875,"[-8.05670474e+02  8.54968741e-01  8.58051469e-01  4.00624626e+03
  4.56773001e-01  4.48037477e-02 -1.67445696e+00  2.03898577e+00
  1.00000000e-02  1.49236712e-01 -1.52278445e+00  1.10000000e+00
  1.00000000e-02  2.08662559e-01  4.76443157e+00  8.48085735e+01
  1.00455033e-02  9.49218251e-01]"
48,GPSO,NLOPT-MMA,2886.6129732088853,3424.5632109316684,2886.6129732088066,3424.5632109316684,"[-9.58881315e+02  2.54616985e-01  6.64912589e-01  5.00000000e+03
  4.13571225e-01  1.10075960e-01 -1.73934219e+00  1.10000000e+00
  5.72702503e-01  1.11784497e-01 -1.66489923e+00  1.10000000e+00
  6.58533941e-02  2.32909049e-01  4.67275549e+00  8.55741896e+01
  1.00051933e-02  9.64453487e-01]"
